node,hopcount,latency,power,deploymentPenalty,cost
0,3,160,655.0,40,40
1,3,127,764.5,1,40
2,3,89,805.5,40,40
3,2,54,714.5,1,40
4,2,94,781.5,40,40
5,3,116,805.5,1,40
6,3,69,664.0,40,40
7,3,98,681.0,1,40
8,3,140,690.0,40,40
9,4,240,783.0,1,40
10,4,220,789.5,40,40
11,4,203,590.5,1,40
12,4,198,772.5,40,40
13,4,280,691.0,1,40
14,4,280,745.0,40,40
15,3,160,824.0,1,40
16,3,210,709.5,40,40
17,4,221,584.5,1,40
18,4,278,669.0,40,40
19,4,270,815.0,1,40
20,4,268,693.0,40,40
21,4,243,782.0,1,40
22,4,206,818.5,40,40
23,4,148,838.0,1,40
24,4,304,716.5,40,40
25,4,294,609.0,1,40
26,4,228,769.0,40,40
27,4,194,579.5,1,40
28,4,246,806.0,40,40
29,3,80,725.0,1,40
30,4,252,651.0,40,40
31,4,180,816.5,1,40
32,4,262,780.5,40,40
33,4,302,559.0,1,40
34,4,216,632.5,40,40
35,4,238,570.0,1,40
36,4,304,757.5,40,40
37,4,242,741.5,1,40
38,4,189,784.0,40,40
39,4,235,660.5,1,40
40,4,215,703.5,40,40
41,4,279,780.5,1,40
42,4,246,753.0,40,40
43,4,421,611.5,1,40
44,3,162,647.5,40,40
45,4,247,746.0,1,40
46,4,555,527.5,40,40
47,4,225,721.5,1,40
48,3,184,655.0,40,40
49,4,297,724.5,1,40
50,4,283,580.0,40,40
51,4,219,765.5,1,40
52,4,208,677.5,40,40
53,4,109,596.0,1,40
54,4,266,758.0,40,40
55,4,254,623.0,1,40
56,4,193,780.0,40,40
57,4,492,733.5,1,40
58,2,189,568.0,40,40
59,4,270,614.0,1,40
60,3,130,573.0,40,40
61,3,193,791.0,1,40
62,4,293,737.5,40,40
63,4,269,798.5,1,40
64,4,676,733.0,40,40
65,4,217,645.0,1,40
66,4,184,529.0,40,40
67,3,254,746.0,1,40
68,4,199,589.0,40,40
69,4,355,694.5,1,40
70,3,202,541.5,40,40
71,4,230,651.0,1,40
72,4,131,805.0,40,40
73,4,225,635.0,1,40
74,4,380,626.0,40,40
75,3,196,718.5,1,40
76,3,132,545.0,40,40
77,4,338,533.0,1,40
78,2,183,681.0,40,40
79,3,238,650.0,1,40
80,4,204,659.5,40,40
81,4,270,749.5,1,40
82,3,210,566.0,40,40
83,4,151,813.0,1,40
84,4,220,646.0,40,40
85,4,119,822.0,1,40
86,3,319,796.5,40,40
87,4,157,682.5,1,40
88,3,130,711.0,40,40
89,4,230,807.5,1,40
90,2,124,614.0,40,40
91,4,246,753.5,1,40
92,4,133,786.5,40,40
93,3,394,542.0,1,40
94,3,140,579.0,40,40
95,4,214,803.5,1,40
96,3,80,778.5,40,40
97,3,114,800.0,1,40
98,3,426,780.0,40,40
99,4,105,714.0,1,40
100,3,232,527.5,40,1
101,3,152,557.0,1,1
102,4,239,659.5,40,1
103,4,218,567.0,1,1
104,1,0,541.0,40,1
105,4,272,750.0,1,1
106,2,162,657.0,40,1
107,4,163,668.0,1,1
108,3,98,715.5,40,1
109,2,76,652.0,1,1
110,3,126,715.0,40,1
111,4,253,572.5,1,1
112,3,140,577.0,40,1
113,4,243,797.5,1,1
114,4,395,763.5,40,1
115,3,331,759.0,1,1
116,4,305,552.0,40,1
117,3,247,819.0,1,1
118,4,251,565.5,40,1
119,5,510,741.5,1,1
120,3,229,661.5,40,1
121,5,296,651.5,1,1
122,4,263,540.5,40,1
123,4,269,815.5,1,1
124,5,476,551.5,40,1
125,2,153,542.0,1,1
126,5,314,796.0,40,1
127,3,262,808.5,1,1
128,3,348,541.0,40,1
129,5,337,563.0,1,1
130,4,296,820.5,40,1
131,4,335,821.5,1,1
132,4,375,824.5,40,1
133,3,219,809.5,1,1
134,4,341,609.5,40,1
135,4,221,540.0,1,1
136,4,375,553.5,40,1
137,4,192,573.5,1,1
138,5,291,663.5,40,1
139,5,328,653.0,1,1
140,4,299,590.5,40,1
141,4,357,768.0,1,1
142,5,344,770.5,40,1
143,5,379,657.5,1,1
144,5,467,574.0,40,1
145,5,226,586.0,1,1
146,4,353,531.5,40,1
147,4,427,691.0,1,1
148,5,316,740.5,40,1
149,4,496,624.0,1,1
150,5,423,540.5,40,1
151,4,170,645.5,1,1
152,5,418,766.0,40,1
153,5,530,7500.0,1,1
154,5,458,613.0,40,1
155,4,293,620.0,1,1
156,5,220,690.0,40,1
157,5,366,771.0,1,1
158,5,435,716.0,40,1
159,5,458,704.0,1,1
160,4,198,673.0,40,1
161,5,316,630.0,1,1
162,5,418,749.5,40,1
163,5,237,679.5,1,1
164,5,443,558.0,40,1
165,5,447,726.0,1,1
166,5,302,838.5,40,1
167,5,254,604.5,1,1
168,4,275,668.0,40,1
169,4,456,801.5,1,1
170,5,272,684.0,40,1
171,4,236,768.0,1,1
172,3,352,594.0,40,1
173,4,171,545.0,1,1
174,4,221,581.5,40,1
175,3,306,717.0,1,1
176,5,219,623.5,40,1
177,5,239,722.5,1,1
178,4,430,818.0,40,1
179,5,316,739.0,1,1
180,5,376,574.0,40,1
181,2,360,771.5,1,1
182,2,195,809.0,40,1
183,5,471,802.0,1,1
184,4,302,622.0,40,1
185,3,408,596.0,1,1
186,4,346,738.0,40,1
187,4,252,606.0,1,1
188,3,220,807.0,40,1
189,3,300,551.5,1,1
190,3,307,561.0,40,1
191,3,252,663.0,1,1
192,5,800,664.5,40,1
193,6,523,586.5,1,1
194,4,387,810.5,40,1
195,4,462,618.0,1,1
196,4,600,666.0,40,1
197,5,395,595.5,1,1
198,5,810,748.5,40,1
199,6,635,734.0,1,1
